run_id,asset_id,candidate_feature_set,model_name,audit_scope,regime_name,n_samples,directional_accuracy,brier_score,calibration_error,after_cost_return,max_drawdown,bootstrap_ci_low,permutation_p_value,active_signal_count,active_coverage,active_hit_rate,train_selected_filter,filter_selection_basis,final_test_ranked,regime_concentration_score,best_regime,promotion_eligible,rescue_decision,failed_gates,rejection_reason,notes
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,overall_candidate,full_period,100,0.6,0.24427357766066574,0.07587790900951628,29.893016970912807,-0.4712962464856435,0.48225,0.0199203187250996,45,0.45,0.5555555555555556,none,not_filtered,False,0.5562540625562218,2020-2021,False,diagnostic_only,bootstrap_lower_bound; official_promotion_gate,failed_bootstrap_or_permutation_stability_check; failed_regime_stability_check,Official candidate audit; does not change selected_model.
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,2021-2023,36,0.6666666666666666,,,3.66065062201935,-0.06870752712239114,,,9,0.25,0.8888888888888888,2021-2023,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,2024-present,27,0.5185185185185185,,,0.49979951559303637,-0.3576608024486614,,,18,0.6666666666666666,0.5,2024-present,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,high-vol,34,0.47058823529411764,,,-0.29830417577812085,-0.648876989459632,,,13,0.38235294117647056,0.38461538461538464,high-vol,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,low-vol,66,0.6666666666666666,,,6.549758421065867,-0.35766080244866116,,,32,0.48484848484848486,0.625,low-vol,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,BTC-up,54,0.5925925925925926,,,1.6154329507414293,-0.5151943942066698,,,27,0.5,0.5555555555555556,BTC-up,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,BTC-down,46,0.6086956521739131,,,1.03181763177568,-0.32350297726433197,,,18,0.391304347826087,0.5555555555555556,BTC-down,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,2020-2021,24,0.75,,,1.8222717383678138,-0.24852229952364024,,,10,0.4166666666666667,0.7,2020-2021,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,2022-2023,24,0.625,,,1.4536984720675177,-0.06870752712239125,,,7,0.2916666666666667,0.8571428571428571,2022-2023,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
btc_research_20260529T094658Z,btc,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,regime_slice,dominance_capitulation,3,0.3333333333333333,,,0.05294798061286987,-0.001000000000000112,,,2,0.6666666666666666,0.5,dominance_capitulation,diagnostic_slice_evaluation,True,0.5562540625562218,2020-2021,False,diagnostic_only,final_test_ranked; not_train_selected_filter,Regime slice is diagnostic because it is evaluated on final out-of-sample rows and cannot select a deployable filter.,"Risk/regime slice used to locate instability, not to promote a model."
